,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,avarua,100,CK,1575248537,83,-21.21,-159.78,77.0,10.29
1,mataura,89,NZ,1575248517,50,-46.19,168.86,66.99,5.99
2,smithers,75,CA,1575248406,79,54.78,-127.17,19.4,2.24
3,taltal,0,CL,1575248548,81,-25.41,-70.49,58.42,1.63
4,bredasdorp,78,ZA,1575248515,82,-34.53,20.04,64.99,3.36
5,hasaki,75,JP,1575248522,93,35.73,140.83,60.8,8.05
6,ushuaia,75,AR,1575248529,87,-54.81,-68.31,50.0,6.93
7,ondo,100,NG,1575248640,92,7.1,4.83,75.36,1.34
8,ambovombe,20,MG,1575248641,80,-25.18,46.09,70.84,5.66
9,codrington,20,AU,1575248533,21,-28.95,153.24,84.99,17.22
10,hermanus,79,ZA,1575248536,85,-34.42,19.24,64.99,11.99
11,abu dhabi,75,JP,1575248565,87,34.51,131.49,55.4,14.99
12,pudozh,80,RU,1575248642,91,61.81,36.54,29.52,11.43
13,khatanga,0,RU,1575248516,99,71.98,102.47,-31.79,2.3
14,dikson,100,RU,1575248534,71,73.51,80.55,-2.49,9.69
15,corinto,75,CO,1575248642,69,3.17,-76.26,77.0,10.29
16,hobart,75,AU,1575248226,35,-42.88,147.33,57.99,12.75
17,provideniya,75,RU,1575248543,92,64.42,-173.23,24.8,4.47
18,oriximina,38,BR,1575248527,52,-1.77,-55.87,85.51,5.66
19,sinnar,84,IN,1575248643,73,19.85,74.0,68.16,5.68
20,ostrovnoy,94,RU,1575248528,84,68.05,39.51,20.3,23.47
21,praia,75,BR,1575248644,65,-20.25,-43.81,77.0,2.82
22,port alfred,100,CD,1575248540,77,-7.04,29.76,75.24,11.25
23,evensk,81,RU,1575248552,71,61.92,159.24,-12.84,10.56
24,albany,90,US,1575248507,85,42.65,-73.75,28.0,8.05
25,sompeta,27,IN,1575248645,82,18.93,84.6,67.15,3.44
26,bluff,78,AU,1575248539,20,-23.58,149.07,89.92,14.41
27,east london,99,UG,1575248517,94,3.43,31.7,69.64,1.39
28,bubaque,17,GW,1575248560,80,11.28,-15.83,82.09,14.05
29,mocajuba,56,BR,1575248646,65,-2.58,-49.5,82.96,5.39
30,punta arenas,75,PH,1575248522,74,14.18,121.12,80.6,9.17
31,halifax,5,CA,1575248557,85,44.65,-63.58,21.0,6.15
32,kapaa,1,US,1575248533,69,22.08,-159.32,80.6,19.46
33,clyde river,63,NZ,1575248409,57,-45.19,169.32,77.0,8.01
34,port elizabeth,100,CD,1575248568,77,-7.04,29.76,75.24,11.25
35,coquimbo,40,CL,1575248648,77,-29.95,-71.34,59.0,6.93
36,mahebourg,40,MU,1575248542,73,-20.41,57.7,77.0,10.29
37,beringovskiy,12,RU,1575248556,89,63.05,179.32,10.13,10.67
38,kodiak,90,US,1575248527,71,39.95,-94.76,32.0,17.22
39,busselton,0,AU,1575248528,29,-33.64,115.35,82.99,10.47
40,guerrero negro,90,AR,1575248572,93,-24.19,-65.45,64.4,3.36
41,lagoa,75,PT,1575248542,76,37.14,-8.45,55.4,12.75
42,yellowknife,90,CA,1575248506,85,62.45,-114.38,17.01,9.17
43,celestun,0,MX,1575248650,82,20.87,-90.4,78.06,15.95
44,puerto ayora,75,AR,1575248538,54,-51.62,-69.23,55.4,12.75
45,muzhi,98,RU,1575248543,96,65.4,64.7,9.64,6.13
46,vaini,40,IN,1575248518,94,15.34,74.49,69.8,5.82
47,salalah,83,OM,1575248547,49,17.01,54.1,73.4,5.82
48,cabo san lucas,75,ES,1575248541,87,43.18,-5.8,51.01,8.05
49,saldanha,29,PT,1575248532,81,41.42,-6.55,42.91,14.72
50,naze,40,NG,1575248557,94,5.43,7.07,77.0,3.42
51,daru,99,PG,1575248653,57,-9.07,143.21,88.74,4.85
52,longyearbyen,99,NO,1575248525,66,78.22,15.63,12.2,14.99
53,veraval,1,FR,1575248407,80,49.65,0.71,41.0,8.05
54,flinders,73,AU,1575248565,34,-34.58,150.85,70.0,24.16
55,elizabeth city,90,US,1575248654,93,40.66,-74.21,46.0,14.99
56,kpandae,52,GH,1575248654,44,8.46,-0.01,81.16,3.31
57,divnogorsk,100,RU,1575248655,57,55.96,92.38,17.6,6.71
58,waddan,51,LY,1575248655,40,29.16,16.14,59.32,10.02
59,tuktoyaktuk,75,CA,1575248505,91,69.44,-133.03,3.2,12.75
60,alyangula,40,AU,1575248656,62,-13.85,136.42,89.6,8.05
61,visby,99,SE,1575248656,91,57.64,18.3,37.99,10.29
62,barcelos,31,BR,1575248558,86,-0.97,-62.93,77.83,2.01
63,nikolskoye,90,RU,1575248514,92,59.7,30.79,30.99,15.66
64,chino valley,75,JP,1575248657,81,35.99,138.16,50.0,14.99
65,bonavista,98,CA,1575248657,83,48.65,-53.11,30.0,8.01
66,cape town,83,CL,1575248553,40,-36.41,-71.9,73.4,6.93
67,juazeirinho,26,BR,1575248658,84,-7.07,-36.58,69.98,14.74
68,kalmunai,100,LK,1575248469,85,7.42,81.82,79.2,17.63
69,geghamasar,100,AM,1575248658,91,40.31,45.68,34.57,1.95
70,kaitangata,100,NZ,1575248532,72,-46.28,169.85,59.0,18.01
71,jamestown,95,AU,1575248523,65,-33.21,138.6,56.95,19.15
72,tuatapere,100,NZ,1575248544,50,-46.13,167.69,66.99,5.99
73,ponta do sol,72,BR,1575248543,75,-0.53,-65.05,80.13,4.23
74,mys shmidta,33,RU,1575248521,96,62.06,48.62,10.27,4.94
75,bilecik,40,TR,1575248660,93,40.14,29.98,39.2,2.24
76,xai-xai,24,MZ,1575248661,97,-25.04,33.64,70.56,2.28
77,erie,75,US,1575248661,100,42.13,-80.09,43.0,3.36
78,fortuna,75,US,1575248549,71,40.6,-124.16,62.6,17.22
79,saint-joseph,100,FR,1575248542,100,43.56,6.97,53.01,3.36
80,sao filipe,94,IN,1575248533,64,20.51,76.21,67.8,6.91
81,saint-augustin,90,CA,1575248662,67,45.63,-73.98,21.99,8.05
82,bilma,77,NE,1575248662,23,18.69,12.92,67.42,5.95
83,sikonge,40,TZ,1575248662,94,-5.63,32.75,68.0,3.13
84,huarmey,67,PE,1575248663,68,-10.07,-78.15,68.22,3.83
85,alice springs,30,ZA,1575248663,93,-32.79,26.83,57.65,4.76
86,ratnagiri,100,IN,1575248663,77,16.98,73.3,71.82,4.56
87,rikitea,75,PF,1575248351,75,-23.12,-134.97,77.45,6.22
88,aksu,0,KZ,1575248552,77,52.04,76.93,5.0,11.18
89,hilo,90,US,1575248532,83,19.71,-155.08,73.0,10.29
90,sydney,74,AU,1575248530,26,-33.85,151.22,72.0,20.8
91,atuona,68,PF,1575248532,69,-9.8,-139.03,79.92,8.99
92,butaritari,67,KI,1575248518,72,3.07,172.79,84.65,10.98
93,twin falls,90,US,1575248665,93,48.16,-123.95,42.01,3.36
94,pangkalanbuun,100,ID,1575248665,86,-2.68,111.62,79.9,1.95
95,altay,0,CN,1575248665,31,47.83,88.13,12.65,5.68
